Sr No,Job Role,Min Salary(),Max Salary,Rating,Company,Location,State,Headquarter,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Easy Apply
867,Data Analyst,"$53,000.00","$1,04,000.00",3.30,"Superior HealthPlan
3.3",Austin, TX,"Austin, TX",1001 to 5000 employees,1999,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
887,Data Analyst,"$35,000.00","$42,000.00",3.30,"Superior HealthPlan
3.3",Austin, TX,"Austin, TX",1001 to 5000 employees,1999,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
1552,Data Analyst,"$35,000.00","$42,000.00",2.70,"Sonic Healthcare USA
2.7",Austin, TX,"Macquarie Park, Australia",10000+ employees,1987,Company - Public,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),FALSE
574,Data Analyst,"$42,000.00","$76,000.00",3.60,"Central Health
3.6",Austin, TX,"Austin, TX",51 to 200 employees,,Government,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD),FALSE
2011,Senior Strategy Data Analyst,"$35,000.00","$42,000.00",3.60,"Central Health
3.6",Austin, TX,"Austin, TX",51 to 200 employees,,Government,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD),FALSE
238,Clinical Data Analyst,"$35,000.00","$42,000.00",3.30,"Ascension
3.3",Austin, TX,"Saint Louis, MO",10000+ employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),FALSE
2214,Technical Business/Data Analyst,"$35,000.00","$42,000.00",3.30,"Ascension
3.3",Austin, TX,"Saint Louis, MO",10000+ employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),FALSE
16,Data Analyst,"$53,000.00","$1,04,000.00",,911 Datamaster Inc,Austin, TX,"Overland Park, KS",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
27,Data Analyst,"$42,000.00","$76,000.00",3.80,"TikTok
3.8",Austin, TX,"Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology, / Non-Applicable,FALSE
275,Data & Reporting Analyst,"$42,000.00","$76,000.00",1.90,"Global Resale
1.9",Austin, TX,"Austin, TX",1 to 50 employees,2015,Company - Private,Computer Hardware & Software,Information Technology, / Non-Applicable,FALSE
576,Data Analyst,"$42,000.00","$76,000.00",4.00,"CYNET SYSTEMS
4.0",Austin, TX,"Ashburn, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
577,Data Analyst,"$42,000.00","$76,000.00",4.30,"Lightspeed Systems
4.3",Austin, TX,"Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),TRUE
578,Data Analyst,"$42,000.00","$76,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Austin, TX,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
913,Data Analyst,"$35,000.00","$42,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Austin, TX,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1000,Data Analyst,"$42,000.00","$76,000.00",4.10,"Taskrabbit
4.1",Austin, TX,"San Francisco, CA",201 to 500 employees,2008,Company - Private,Internet,Information Technology, / Non-Applicable,FALSE
1132,Data Lineage Analyst,"$53,000.00","$1,04,000.00",4.50,"Tech Firefly
4.5",Austin, TX,"Santa Clara, CA",51 to 200 employees,2016,Company - Private,IT Services,Information Technology, / Non-Applicable,FALSE
1182,Data Quality Analyst,"$42,000.00","$76,000.00",2.60,"MedSeek
2.6",Austin, TX,"Hoover, AL",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),FALSE
1183,Data Quality Analyst,"$53,000.00","$1,04,000.00",2.80,"Healthgrades
2.8",Austin, TX,"Denver, CO",501 to 1000 employees,1998,Company - Private,Internet,Information Technology, / Non-Applicable,FALSE
1251,Data Strategy Analyst,"$42,000.00","$76,000.00",3.20,"GroupBy Inc.
3.2",Austin, TX,"Toronto, Canada",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),FALSE
1494,Junior Data Analyst,"$42,000.00","$76,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Austin, TX,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1509,Junior Data Analyst,"$35,000.00","$42,000.00",3.50,"ISHPI Information Technologies
3.5",Austin, TX,"Mount Pleasant, SC",201 to 500 employees,2006,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1526,Lead Data Analyst,"$53,000.00","$1,04,000.00",3.80,"Lawnstarter
3.8",Austin, TX,"Austin, TX",1 to 50 employees,,Company - Private,Internet,Information Technology,Less than $1 million (USD),FALSE
1591,MDM Data Analyst,"$53,000.00","$1,04,000.00",4.40,"Vsion Technologies Inc
4.4",Austin, TX,"Cedar Park, TX",51 to 200 employees,,Company - Private,IT Services,Information Technology, / Non-Applicable,FALSE
1792,Senior Claims Data Analyst,"$42,000.00","$76,000.00",2.80,"Healthgrades
2.8",Austin, TX,"Denver, CO",501 to 1000 employees,1998,Company - Private,Internet,Information Technology, / Non-Applicable,FALSE
1793,Senior Claims Data Analyst,"$53,000.00","$1,04,000.00",2.60,"MedSeek
2.6",Austin, TX,"Hoover, AL",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),FALSE
1876,Senior Data Analyst,"$53,000.00","$1,04,000.00",3.70,"Bazaarvoice
3.7",Austin, TX,"Austin, TX",501 to 1000 employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),FALSE
2030,Splunk Data Analyst,"$35,000.00","$42,000.00",4.10,"BayOne Solutions
4.1",Austin, TX,"Pleasanton, CA",1001 to 5000 employees,,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),FALSE
2182,Systems and Data Analyst,"$35,000.00","$42,000.00",3.70,"22nd Century Technologies
3.7",Austin, TX,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
77,Associate Data Analyst,"$53,000.00","$1,04,000.00",3.30,"Gemalto
3.3",Austin, TX,"Amsterdam, Netherlands",10000+ employees,2006,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),FALSE
885,Data Analyst,"$35,000.00","$42,000.00",3.10,"Seven Seven Softwares
3.1",Austin, TX,"Rockaway, NJ",201 to 500 employees,1996,Company - Public,IT Services,Information Technology,$10 to $25 million (USD),FALSE
978,Data Analyst,"$53,000.00","$1,04,000.00",4.50,"Facebook
4.5",Austin, TX,"Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),FALSE
1703,Reconciliation Data Operations Analyst,"$42,000.00","$76,000.00",3.50,"eBay
3.5",Austin, TX,"San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),FALSE
1795,Senior Cloud Data Analyst,"$53,000.00","$1,04,000.00",4.60,"NVIDIA
4.6",Austin, TX,"Santa Clara, CA",10000+ employees,1993,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),FALSE
1877,Senior Data Analyst,"$53,000.00","$1,04,000.00",3.70,"CloudFlare
3.7",Austin, TX,"San Francisco, CA",1001 to 5000 employees,2010,Company - Public,Internet,Information Technology, / Non-Applicable,FALSE
869,Data Analyst,"$53,000.00","$1,04,000.00",3.30,"Centene Corporation
3.3",Austin, TX,"Saint Louis, MO",10000+ employees,1984,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),FALSE
886,Data Analyst,"$35,000.00","$42,000.00",3.70,"Wellcare
3.7",Austin, TX,"Tampa, FL",5001 to 10000 employees,1985,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),FALSE
888,Data Analyst,"$35,000.00","$42,000.00",3.30,"Centene Corporation
3.3",Austin, TX,"Saint Louis, MO",10000+ employees,1984,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),FALSE
1545,Operations Data Analyst,"$42,000.00","$76,000.00",3.80,"Wargaming
3.8",Austin, TX,"Nicosia, Cyprus",1001 to 5000 employees,1998,Company - Private,Video Games,Media, / Non-Applicable,TRUE
573,Data Analyst,"$42,000.00","$76,000.00",4.10,"Zynga
4.1",Austin, TX,"San Francisco, CA",1001 to 5000 employees,2007,Company - Public,Video Games,Media,$500 million to $1 billion (USD),FALSE
1495,Junior Data Analyst,"$53,000.00","$1,04,000.00",2.60,"Santanna Energy Services
2.6",Austin, TX,"Austin, TX",1 to 50 employees,1988,Company - Private,Energy,"Oil, Gas, Energy & Utilities", / Non-Applicable,FALSE
580,Data Analyst,"$53,000.00","$1,04,000.00",,Cyclex Systems,Austin, TX,,,,,,,,FALSE
1017,Data Analyst,"$35,000.00","$42,000.00",,softsnippets,Austin, TX,,,,,,,,FALSE
1361,Finance Data Analyst,"$53,000.00","$1,04,000.00",,VIAHART,Austin, TX,,,,,,,,FALSE
1628,Operations Data Analyst,"$35,000.00","$42,000.00",,United States Army Futures Command,Austin, TX,,,,,,,,FALSE
1878,Senior Data Analyst,"$35,000.00","$42,000.00",,Iris Plans Inc.,Austin, TX,"Austin, TX",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
2213,Technical Business/Data Analyst,"$53,000.00","$1,04,000.00",3.70,"Allegan General Hospital
3.7",Austin, TX,"Allegan, MI",201 to 500 employees,1938,Company - Private,,,$25 to $50 million (USD),FALSE
219,Celonis Data Engineer & Analyst,"$53,000.00","$1,04,000.00",,SNIPEBRIDGE,Austin, TX,"Plano, TX",,,Company - Public,,, / Non-Applicable,FALSE
1117,Data Governance Analyst,"$35,000.00","$42,000.00",3.00,"SMIT Solutions
3.0",Austin, TX,"Bradenton, FL",,,,,, / Non-Applicable,FALSE
744,Data Analyst,"$65,000.00","$81,000.00",3.50,"Midcom
3.5",Azusa, CA,"Anaheim, CA",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$10 to $25 million (USD),FALSE
2150,Senior Healthcare Data Analyst,"$34,000.00","$61,000.00",3.50,"Franciscan Health
3.5",Beech Grove, IN,"Mishawaka, IN",10000+ employees,1875,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),FALSE
754,Data Analyst,"$35,000.00","$67,000.00",3.20,"Subex
3.2",Bellevue, WA,"Bengaluru, India",501 to 1000 employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),FALSE
877,Data Analyst,"$35,000.00","$67,000.00",4.20,"iSpot.tv, Inc.
4.2",Bellevue, WA,"Bellevue, WA",51 to 200 employees,,Company - Private,,, / Non-Applicable,FALSE
160,Business Data Analyst,"$38,000.00","$68,000.00",3.50,"Dextro Software Systems
3.5",Bensalem, PA,"Princeton Junction, NJ",51 to 200 employees,1993,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),TRUE
1765,Senior Analyst,"$27,000.00","$52,000.00",3.30,"Hikma Pharmaceuticals
3.3",Berkeley Heights, NJ,"London, United Kingdom",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),FALSE
1260,Data System Analyst,"$65,000.00","$1,20,000.00",4.10,"University of California Berkeley
4.1",Berkeley, CA,"Berkeley, CA",10000+ employees,1682,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),FALSE
638,Data Analyst,"$99,000.00","$1,78,000.00",4.60,"The Voleon Group
4.6",Berkeley, CA,"Berkeley, CA",51 to 200 employees,2007,Company - Private,Investment Banking & Asset Management,Finance, / Non-Applicable,FALSE
1739,Sales Data Analyst,"$37,000.00","$44,000.00",3.70,"McGrath Systems
3.7",Berwyn, PA,"Blue Bell, PA",1 to 50 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),FALSE
199,Business Intelligence Analyst,"$50,000.00","$93,000.00",3.60,"TE Connectivity
3.6",Berwyn, PA,"Schaffhausen, Switzerland",10000+ employees,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),FALSE
1418,Data Analyst,"$42,000.00","$66,000.00",3.60,"City National Bank
3.6",Beverly Hills, CA,"Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance, / Non-Applicable,FALSE
