Sr No,Job Role,Min Salary(),Max Salary,Rating,Company,Location,State,Headquarter,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Easy Apply
1029,Data Analyst,"$65,000.00","$81,000.00",5,22nd Century Technologies,Denver, CO,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
613,Data Analyst,"$54,000.00","$75,000.00",5,22nd Century Technologies,New York, NY,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
916,Data Analyst,"$53,000.00","$99,000.00",5,22nd Century Technologies,San Diego, CA,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
1498,Junior Data Analyst,"$50,000.00","$86,000.00",5,2U,New York, NY,"Lanham, MD",1001 to 5000 employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),TRUE
1067,Business Data Analyst,"$50,000.00","$86,000.00",5,360pi,Chicago, IL,"Ottawa, Canada",1 to 50 employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),FALSE
2160,Senior Sales Operations and Data Analyst,"$97,000.00","$1,29,000.00",5,451 Research,New York, NY,"New York, NY",201 to 500 employees,2000,Company - Private,Research & Development,Business Services, / Non-Applicable,FALSE
1264,Data Transformation Analyst,"$60,000.00","$66,000.00",5,"8K Miles Software Services, Inc.",New York, NY,"Santa Clara, CA",201 to 500 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
1574,Marketing Data Analyst,"$42,000.00","$76,000.00",5,911 Datamaster Inc,Austin, TX,"Overland Park, KS",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
2120,Senior Data Analyst,"$97,000.00","$1,29,000.00",5,A2C Consulting,Philadelphia, PA,"Philadelphia, PA",1 to 50 employees,1994,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
420,Data Analyst,"$73,000.00","$82,000.00",5,A2C Consulting,Philadelphia, PA,"Philadelphia, PA",1 to 50 employees,1994,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
909,Data Analyst,"$42,000.00","$76,000.00",5,AB InBev,New York, NY,"Kyiv, Ukraine",1001 to 5000 employees,,Company - Public,,, / Non-Applicable,FALSE
1485,Junior Data Analyst,"$73,000.00","$82,000.00",5,Abacus Service Corporation,Oakland, CA,"Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1108,Data Governance Analyst,"$42,000.00","$76,000.00",5,Abacus Service Corporation,New York, NY,"Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
2019,Service Operations Data Analyst,"$1,13,000.00","$1,32,000.00",5,Abacus Service Corporation,Salt Lake City, UT,"Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
592,Data Analyst,"$28,000.00","$52,000.00",5,Abbott,Columbus, OH,"Abbott Park, IL",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),FALSE
915,Data Analyst,"$28,000.00","$52,000.00",5,Abbott Laboratories,Columbus, OH,"Abbott Park, IL",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),FALSE
1497,Junior Data Analyst,"$28,000.00","$52,000.00",5,AbbVie,Sunnyvale, CA,"North Chicago, IL",10000+ employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),FALSE
524,Data Analyst,"$30,000.00","$53,000.00",5,AbbVie,Sunnyvale, CA,"North Chicago, IL",10000+ employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),FALSE
1489,Junior Data Analyst,"$24,000.00","$48,000.00",5,Abercrombie & Fitch Co.,Columbus, OH,"New Albany, OH",10000+ employees,1892,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),FALSE
1143,Data Management Analyst,"$44,000.00","$82,000.00",5,AbleTo,New York, NY,"New York, NY",51 to 200 employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),FALSE
1710,Reporting Data Analyst,"$57,000.00","$67,000.00",5,Abnormal Security,Lehi, UT,"San Francisco, CA",51 to 200 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology, / Non-Applicable,FALSE
683,Data Analyst,"$57,000.00","$67,000.00",5,ABS Graphics,Itasca, IL,"Itasca, IL",51 to 200 employees,1982,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),FALSE
684,Data Analyst,"$57,000.00","$67,000.00",5,Acacia Network,Bronx, NY,"Bronx, NY",1001 to 5000 employees,1966,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),FALSE
692,Data Analyst,"$49,000.00","$91,000.00",5,Accenture,Charlotte, NC,"Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),FALSE
735,Data Analyst,"$57,000.00","$1,00,000.00",5,Accenture Contractor Jobs,Charlotte, NC,,,,,,,,FALSE
921,Data Analyst,"$57,000.00","$1,00,000.00",5,Accenture Federal Services,Charlotte, NC,"Fairfax, VA",1001 to 5000 employees,1975,Subsidiary or Business Segment,IT Services,Information Technology,$100 to $500 million (USD),FALSE
1216,Data Science Analyst,"$49,000.00","$91,000.00",5,AccessLex Institute,West Chester, PA,"West Chester, PA",51 to 200 employees,,Nonprofit Organization,Colleges & Universities,Education, / Non-Applicable,FALSE
1504,Junior Data Analyst,"$57,000.00","$67,000.00",5,AccessOne,Fort Mill, SC,"Fort Mill, SC",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),FALSE
1265,Data Validation Analyst,"$28,000.00","$52,000.00",5,Accounting Aid Society,Chicago, IL,"Detroit, MI",1 to 50 employees,,Nonprofit Organization,,,$1 to $5 million (USD),FALSE
828,Data Analyst,"$50,000.00","$86,000.00",5,Accounting Principals,San Jose, CA,"Jacksonville, FL",501 to 1000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),FALSE
366,Data Analyst,"$30,000.00","$54,000.00",5,Acorns,Anaheim, CA,"Irvine, CA",201 to 500 employees,,Company - Private,Brokerage Services,Finance, / Non-Applicable,FALSE
822,Data Analyst,"$30,000.00","$54,000.00",5,ACS,New York, NY,"Moore, OK",1 to 50 employees,,Company - Private,General Repair & Maintenance,"Construction, Repair & Maintenance",$1 to $5 million (USD),FALSE
907,Data Analyst,"$30,000.00","$54,000.00",5,ACT Consulting,New York, NY,"London, United Kingdom",1 to 50 employees,,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
1480,Junior Data Analyst,"$30,000.00","$54,000.00",5,ACT Consulting,Parsippany, NJ,"London, United Kingdom",1 to 50 employees,,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
379,Data Analyst,"$55,000.00","$1,03,000.00",5,Activision Blizzard,El Segundo, CA,"Santa Monica, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD),FALSE
1589,MDG Functional Data Analyst,"$57,000.00","$1,00,000.00",5,Acumen,Burlingame, CA,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),FALSE
363,Data Analyst,"$43,000.00","$69,000.00",5,Acumen,Burlingame, CA,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),FALSE
906,Data Analyst,"$43,000.00","$69,000.00",5,Acumen,Burlingame, CA,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),FALSE
1479,Junior Data Analyst,"$43,000.00","$69,000.00",5,Acumen,Los Angeles, CA,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),FALSE
1641,Pharmaceutical Data Analyst,"$41,000.00","$78,000.00",5,Acumen,Los Angeles, CA,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),FALSE
2025,Data Analyst,"$74,000.00","$1,23,000.00",5,Adaptimmune Ltd,Philadelphia, PA,"Abingdon, United Kingdom",201 to 500 employees,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, / Non-Applicable,FALSE
446,Data Analyst,"$47,000.00","$76,000.00",5,addastaff,San Francisco, CA,"San Mateo, CA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1273,Data Warehouse Analyst,"$47,000.00","$76,000.00",5,addastaff,San Francisco, CA,"San Mateo, CA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
170,Business Data Analyst,"$53,000.00","$99,000.00",5,Addison Group,Dallas, TX,"Chicago, IL",501 to 1000 employees,1999,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1267,Data Visualization Analyst,"$54,000.00","$75,000.00",5,ADT,Irving, TX,"Boca Raton, FL",10000+ employees,1874,Company - Public,Security Services,Business Services,$2 to $5 billion (USD),FALSE
662,Data Analyst,"$34,000.00","$61,000.00",5,Advent Global Solutions,Denver, CO,"Houston, TX",501 to 1000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),FALSE
918,Data Analyst,"$34,000.00","$61,000.00",5,Advent Global Solutions - Special Instance,Topeka, KS,,,,,,,,FALSE
1500,Junior Data Analyst,"$34,000.00","$61,000.00",5,"Advent Global Solutions, Inc.",Topeka, KS,"Houston, TX",501 to 1000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),FALSE
1395,Healthcare Data Analyst,"$41,000.00","$86,000.00",5,Advisor Group,Jersey City, NJ,"Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),FALSE
1392,Guidewire Data Analyst,"$40,000.00","$72,000.00",5,Adwait Algorithm,Santa Clara, CA,"Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology, / Non-Applicable,FALSE
1926,Senior Data Analyst,"$40,000.00","$72,000.00",5,Adwait Algorithm,Santa Clara, CA,"Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology, / Non-Applicable,FALSE
584,Data Analyst,"$40,000.00","$72,000.00",5,Aegis Media,New York, NY,"London, United Kingdom",1001 to 5000 employees,1978,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),FALSE
914,Data Analyst,"$40,000.00","$72,000.00",5,AIDS Healthcare Foundation,Los Angeles, CA,"Los Angeles, CA",1001 to 5000 employees,1987,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),FALSE
1496,Junior Data Analyst,"$40,000.00","$72,000.00",5,Airgas,Long Beach, CA,"Radnor, PA",10000+ employees,1982,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),FALSE
1987,Senior Healthcare Data Analyst,"$64,000.00","$1,13,000.00",5,Ajilon,Woodland Hills, CA,"Jacksonville, FL",1001 to 5000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),FALSE
347,Data Analyst,"$41,000.00","$78,000.00",5,Akima Management Services,San Antonio, TX,"Herndon, VA",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),FALSE
1688,Quality Data Analyst,"$77,000.00","$1,32,000.00",5,Akorbi,Mountain View, CA,"Plano, TX",201 to 500 employees,2003,Company - Private,Consulting,Business Services,$25 to $50 million (USD),FALSE
693,Data Analyst,"$57,000.00","$1,03,000.00",5,AKORBI Language Solutions,Sunnyvale, CA,,,,,,,,FALSE
1566,Marketing Data Analyst,"$57,000.00","$1,03,000.00",5,Akraya Inc.,Los Angeles, CA,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
368,Data Analyst,"$55,000.00","$1,03,000.00",5,Akraya Inc.,Salt Lake City, UT,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
370,Data Analyst,"$55,000.00","$1,03,000.00",5,Akraya Inc.,San Francisco, CA,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
908,Data Analyst,"$35,000.00","$45,000.00",5,Akraya Inc.,Seattle, WA,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
1481,Junior Data Analyst,"$37,000.00","$70,000.00",5,Akraya Inc.,Seattle, WA,"Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
2173,Survey Data Analyst,"$55,000.00","$1,03,000.00",5,Alaska USA,Glendale, AZ,"Anchorage, AK",1001 to 5000 employees,1948,Other Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),FALSE
156,Business Data Analyst,"$57,000.00","$1,03,000.00",5,AlaskaUSA Mortgage Company,Glendale, AZ,,,,,,,,FALSE
1570,Marketing Data Analyst,"$50,000.00","$86,000.00",5,Albany Charter School Network,Oakland, CA,,,,,,,,FALSE
35,AI Insights Data Analyst,"$1,10,000.00","$1,90,000.00",5,ALERE,Chicago, IL,"Waltham, MA",5001 to 10000 employees,2001,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),FALSE
320,Data Analyst,"$51,000.00","$87,000.00",5,Alexza Pharmaceuticals,Mountain View, CA,"Mountain View, CA",1 to 50 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),FALSE
1100,Data Governance Analyst,"$59,000.00","$85,000.00",5,A-Line Staffing Solutions,Dallas, TX,"Utica, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1297,Data System Analyst,"$51,000.00","$87,000.00",5,Allakos,Redwood City, CA,"Redwood City, CA",51 to 200 employees,,Company - Public,,, / Non-Applicable,FALSE
1696,Quantitative Data Analyst,"$77,000.00","$1,32,000.00",5,Allegan General Hospital,Austin, TX,"Allegan, MI",201 to 500 employees,1938,Company - Private,,,$25 to $50 million (USD),FALSE
1706,Regulatory Risk Management Data Analytics and Reporting Analyst,"$98,000.00","$1,14,000.00",5,Alliance IT,San Ramon, CA,"Pleasanton, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),FALSE
1914,Senior Data Analyst,"$60,000.00","$1,10,000.00",5,AllianceRx Walgreens Prime,Tempe, AZ,"Orlando, FL",1001 to 5000 employees,2017,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, / Non-Applicable,FALSE
1935,Senior Data Analyst,"$41,000.00","$78,000.00",5,Alliant Credit Union,Rolling Meadows, IL,"Chicago, IL",501 to 1000 employees,1935,Nonprofit Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),FALSE
281,Business Intelligence Analyst,"$37,000.00","$66,000.00",5,Allied Solutions,Carmel, IN,"Carmel, IN",1001 to 5000 employees,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),FALSE
306,Data Analyst,"$51,000.00","$88,000.00",5,AllRedi,Pasadena, TX,,,,,,,,FALSE
341,Data Analyst,"$41,000.00","$78,000.00",5,Allscripts,Chicago, IL,"Chicago, IL",5001 to 10000 employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),FALSE
821,Data Analyst,"$48,000.00","$96,000.00",5,"Alpha Rae Personnel, Inc.",Indianapolis, IN,"Fort Wayne, IN",1001 to 5000 employees,,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
905,Data Analyst,"$77,000.00","$1,32,000.00",5,"AlphaProTemps, A.P.R., Inc.",San Fernando, CA,,,,,,,,FALSE
1476,Junior Data Analyst,"$59,000.00","$85,000.00",5,Altech Star Inc.,New York, NY,"West Windsor, NJ",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),FALSE
297,Data Analyst,"$46,000.00","$87,000.00",5,Alteryx,Redwood City, CA,"Irvine, CA",1001 to 5000 employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),FALSE
304,Data Analyst,"$51,000.00","$88,000.00",5,Altice USA,Long Island City, NY,"Queens Village, NY",10000+ employees,,Company - Public,,, / Non-Applicable,FALSE
1349,ETL Data Analyst,"$84,000.00","$90,000.00",5,Amazon,East Palo Alto, CA,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),FALSE
1288,Data Warehouse Analyst,"$98,000.00","$1,14,000.00",5,Amazon,New York, NY,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),FALSE
1928,Senior Data Analyst,"$49,000.00","$1,12,000.00",5,Amazon,Tempe, AZ,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),FALSE
1929,Senior Data Analyst,"$43,000.00","$69,000.00",5,Amazon Corporate LLC,Seattle, WA,,,,,,,,FALSE
618,Data Analyst,"$57,000.00","$1,04,000.00",5,Amazon Corporate LLC,Seattle, WA,,,,,,,,FALSE
1957,Senior Data Engineer & Analyst,"$42,000.00","$66,000.00",5,Amazon Corporate LLC,Seattle, WA,,,,,,,,FALSE
391,Data Analyst,"$37,000.00","$70,000.00",5,Amazon Corporate LLC,Seattle, WA,,,,,,,,FALSE
478,Data Analyst,"$38,000.00","$68,000.00",5,Amazon Corporate LLC,Seattle, WA,,,,,,,,FALSE
1487,Junior Data Analyst,"$41,000.00","$78,000.00",5,Amenity Analytics,New York, NY,"New York, NY",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology, / Non-Applicable,FALSE
1931,Senior Data Analyst,"$46,000.00","$1,02,000.00",5,Amentum,San Diego, CA,"Germantown, MD",10000+ employees,,Company - Public,,, / Non-Applicable,FALSE
1507,Junior Data Analyst,"$43,000.00","$94,000.00",5,American CyberSystems,New York, NY,"Duluth, GA",10000+ employees,1998,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),FALSE
1388,Game Data Analyst,"$24,000.00","$48,000.00",5,American Recruiting & Consulting Group,Jacksonville, FL,"Fort Lauderdale, FL",51 to 200 employees,1982,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1819,Senior Data Analyst,"$26,000.00","$47,000.00",5,American Tire Distributors,Huntersville, NC,"Huntersville, NC",1001 to 5000 employees,1935,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD),FALSE
496,Data Analyst,"$37,000.00","$68,000.00",5,American Tire Distributors,Huntersville, NC,"Huntersville, NC",1001 to 5000 employees,1935,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD),FALSE
506,Data Analyst,"$76,000.00","$1,22,000.00",5,amerihealth,Philadelphia, PA,"Philadelphia, PA",5001 to 10000 employees,1997,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $50 million (USD),FALSE
911,Data Analyst,"$60,000.00","$1,24,000.00",5,amerihealth,Philadelphia, PA,"Philadelphia, PA",5001 to 10000 employees,1997,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $50 million (USD),FALSE
1488,Junior Data Analyst,"$76,000.00","$1,22,000.00",5,AmeriHealth Caritas,Philadelphia, PA,"Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),FALSE
272,Business Intelligence Analyst,"$76,000.00","$1,22,000.00",5,AmeriHealth Caritas,Philadelphia, PA,"Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),FALSE
1780,Senior Business and Data Analyst,"$46,000.00","$86,000.00",5,Amerihealth Caritas Health Plan,Philadelphia, PA,,,,,,,,FALSE
2092,Senior Business Analyst,"$46,000.00","$86,000.00",5,Amerihealth Caritas Health Plan,Philadelphia, PA,,,,,,,,FALSE
2136,Senior Data Analyst,"$47,000.00","$74,000.00",5,Ampcus Incorporated,Philadelphia, PA,"Chantilly, VA",501 to 1000 employees,2004,Company - Private,Consulting,Business Services,$50 to $100 million (USD),FALSE
1627,Operations Data Analyst,"$93,000.00","$1,59,000.00",5,Ampcus Incorporated,San Jose, CA,"Chantilly, VA",501 to 1000 employees,2004,Company - Private,Consulting,Business Services,$50 to $100 million (USD),FALSE
655,Data Analyst,"$65,000.00","$1,20,000.00",5,Amplify Systems,Malvern, PA,"Salem, NH",1 to 50 employees,,Company - Public,IT Services,Information Technology,Less than $1 million (USD),FALSE
917,Data Analyst,"$46,000.00","$86,000.00",5,"Amyx, Iinc.",Aurora, CO,,,,,,,,FALSE
1228,Data Science Analyst,"$99,000.00","$1,78,000.00",5,"Amyx, Iinc.",Columbus, OH,,,,,,,,FALSE
1252,Data Studio Analyst,"$99,000.00","$1,78,000.00",5,"Amyx, Iinc.",San Antonio, TX,,,,,,,,FALSE
1499,Junior Data Analyst,"$93,000.00","$1,59,000.00",5,"Amyx, Iinc.",San Antonio, TX,,,,,,,,FALSE
2225,Part Time Data Analyst,"$57,000.00","$1,04,000.00",5,"Amyx, Inc.",Aurora, CO,"Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
551,Data Analyst,"$89,000.00","$1,51,000.00",5,"Amyx, Inc.",Columbus, OH,"Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
563,Data Analyst,"$89,000.00","$1,51,000.00",5,"Amyx, Inc.",San Antonio, TX,"Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
912,Data Analyst,"$58,000.00","$93,000.00",5,"Amyx, Inc.",San Antonio, TX,"Reston, VA",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1490,Junior Data Analyst,"$89,000.00","$1,51,000.00",5,Analytical Mechanics Associates,Dallas, TX,"Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),FALSE
642,Data Analyst,"$93,000.00","$1,59,000.00",5,Analytical Mechanics Associates,Hampton, VA,"Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),FALSE
2073,Senior Data Analyst,"$1,13,000.00","$1,32,000.00",5,Analytical Mechanics Associates,Hampton, VA,"Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),FALSE
667,Data Analyst,"$35,000.00","$67,000.00",5,Andiamo,Houston, TX,"Warren, MI",201 to 500 employees,,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),FALSE
919,Data Analyst,"$55,000.00","$1,01,000.00",5,Andiamo,Houston, TX,"Warren, MI",201 to 500 employees,,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),FALSE
1501,Junior Data Analyst,"$35,000.00","$67,000.00",5,Andiamo,New York, NY,"Warren, MI",201 to 500 employees,,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),FALSE
1376,Finance Data Analyst,"$74,000.00","$1,23,000.00",5,Angaza,San Francisco, CA,"San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology, / Non-Applicable,FALSE
910,Data Analyst,"$50,000.00","$93,000.00",5,Angeion Group,Chester Township, PA,"Philadelphia, PA",1 to 50 employees,,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
792,Data Analyst,"$42,000.00","$76,000.00",4.9,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago, IL,"Chicago, IL",1001 to 5000 employees,2012,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),FALSE
900,Data Analyst,"$24,000.00","$48,000.00",4.9,Anzu Global,Cupertino, CA,"Acton, MA",1 to 50 employees,2006,Company - Private,Consulting,Business Services,Less than $1 million (USD),FALSE
858,Data Analyst,"$29,000.00","$38,000.00",4.9,"AOC Solutions, Inc.",DC Ranch, AZ,"Chantilly, VA",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
2174,Survey Data Analyst,"$35,000.00","$45,000.00",4.9,APCO Worldwide,New York, NY,"Washington, DC",501 to 1000 employees,1984,Company - Private,Consulting,Business Services,$100 to $500 million (USD),FALSE
266,CRM Data Performance Analyst,"$73,000.00","$1,27,000.00",4.9,Apex Systems,Charlotte, NC,"Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),TRUE
1560,Marketing Data Analyst,"$46,000.00","$87,000.00",4.9,Apex Systems,Greenwood Village, Arapahoe,"Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),TRUE
289,Data Analyst,"$37,000.00","$66,000.00",4.9,Apex Systems,Greenwood Village, Arapahoe,"Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),TRUE
449,Data Analyst,"$53,000.00","$94,000.00",4.9,Apex Systems,Irving, TX,"Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),TRUE
